id,observed_on_string,observed_on,time_observed_at,time_zone,user_id,user_login,user_name,created_at,updated_at,quality_grade,license,url,image_url,sound_url,tag_list,description,num_identification_agreements,num_identification_disagreements,captive_cultivated,oauth_application_id,place_guess,latitude,longitude,positional_accuracy,private_place_guess,private_latitude,private_longitude,public_positional_accuracy,geoprivacy,taxon_geoprivacy,coordinates_obscured,positioning_method,positioning_device,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id
"137029576",2022/09/17 1:51 PM,2022-09-17,2022-09-17 16:51:00 UTC,Brasilia,"1851811",gafischer,Guilherme A. Fischer,2022-09-30 14:56:27 UTC,2023-02-07 22:59:20 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/137029576,https://inaturalist-open-data.s3.amazonaws.com/photos/233955854/medium.jpeg,,,,"2","0",false,,"Mambaí - GO, Brasil",-14.4715814017,-46.1452879461,"1413",,,,"1413",,open,false,,,Mandacaru-de-calcário,Cereus jamacaru calcirupicola,Mandacaru-do-calcário,Plantae,"418239"
"137029580",2022/09/17 1:54 PM,2022-09-17,2022-09-17 16:54:00 UTC,Brasilia,"1851811",gafischer,Guilherme A. Fischer,2022-09-30 14:56:28 UTC,2022-10-02 20:36:22 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/137029580,https://inaturalist-open-data.s3.amazonaws.com/photos/233956200/medium.jpeg,,,,"2","0",false,,"Mambaí - GO, Brasil",-14.4717887695,-46.1448734181,"1191",,,,"1191",,open,false,,,Pilosocereus machrisii,Pilosocereus machrisii,Facheiro-do-cerrado,Plantae,"442103"
"137129499",2022/06/24 10:49 AM,2022-06-24,2022-06-24 14:49:00 UTC,America/Campo_Grande,"379719",fcstraube,Fernando C. Straube,2022-10-01 11:00:20 UTC,2023-02-08 00:26:07 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/137129499,https://inaturalist-open-data.s3.amazonaws.com/photos/234145408/medium.jpg,,,,"2","0",false,,"Bonito - MS, Brasil",-21.1010862873,-56.725570785,"419",,,,"419",,open,false,,,Cereus bicolor,Cereus bicolor,,Plantae,"438210"
"137159578",2022-06-29 08:49:58,2022-06-29,2022-06-29 11:49:58 UTC,America/Fortaleza,"3254205",leonardovictor,Leonardo Victor,2022-10-01 16:09:03 UTC,2022-10-20 16:05:02 UTC,research,,https://www.inaturalist.org/observations/137159578,https://static.inaturalist.org/photos/234199820/medium.jpeg,,,,"1","0",false,"2","Paulino Neves - MA, Brasil",-2.7036977,-42.5195882,,,,,,,open,false,gps,gps,Pilosocereus catingicola salvadorensis,Pilosocereus catingicola salvadorensis,Facheiro-da-praia,Plantae,"418242"
"137515304",2020-09-12 08:33:28,2020-09-12,2020-09-12 11:33:28 UTC,Brasilia,"6211002",donizete3,Donizete Carvalho,2022-10-04 12:33:47 UTC,2022-10-17 18:35:41 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/137515304,https://inaturalist-open-data.s3.amazonaws.com/photos/234880311/medium.jpeg,,,,"2","0",false,"2","Minas Gerais, BR",-16.8212484954,-43.1880806583,"2076",,,,"30780",,obscured,true,gps,gps,Pilosocereus fulvilanatus,Pilosocereus fulvilanatus,Jamacaru-peludo,Plantae,"442098"
"137515477",2020-09-12 08:25:11,2020-09-12,2020-09-12 11:25:11 UTC,Brasilia,"6211002",donizete3,Donizete Carvalho,2022-10-04 12:36:03 UTC,2022-10-05 13:05:32 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/137515477,https://inaturalist-open-data.s3.amazonaws.com/photos/234880634/medium.jpeg,,,,"1","0",false,"2",Botumirim,-16.8618527422,-43.010214977,"2076",,,,"2076",,open,false,gps,gps,Cipocereus minensis leiocarpus,Cipocereus minensis leiocarpus,Tuna-de-fruto-azul-costado,Plantae,"1403399"
"137546507",2019-12-26,2019-12-26,,Brasilia,"6211002",donizete3,Donizete Carvalho,2022-10-04 17:38:12 UTC,2022-10-15 19:14:58 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/137546507,https://inaturalist-open-data.s3.amazonaws.com/photos/234935431/medium.jpeg,,,,"1","0",false,"2",Botumirim,-16.8618527422,-43.010214977,"2076",,,,"2076",,open,false,gps,gps,Melocactus bahiensis,Melocactus bahiensis,Coroa-de-frade,Plantae,"440343"
"138087814",2022-10-05 09:35:29-03:00,2022-10-05,2022-10-05 12:35:29 UTC,Brasilia,"2897931",caiobrito,Caio Brito,2022-10-09 08:01:49 UTC,2022-10-09 21:45:06 UTC,research,,https://www.inaturalist.org/observations/138087814,https://static.inaturalist.org/photos/235955634/medium.jpg,,,,"2","0",false,"3","Santana do Riacho, MG, BR",-19.0571805,-43.7085333333,"6",,,,"6",,open,false,,,Cipocereus minensis,Cipocereus minensis,Tuna-da-lapa,Plantae,"340980"
"138087887",2022-10-05 09:40:04-03:00,2022-10-05,2022-10-05 12:40:04 UTC,Brasilia,"2897931",caiobrito,Caio Brito,2022-10-09 08:02:55 UTC,2023-02-04 19:54:10 UTC,research,,https://www.inaturalist.org/observations/138087887,https://static.inaturalist.org/photos/235955714/medium.jpg,,,,"3","0",false,"3","Santana do Riacho, MG, BR",-19.0570445,-43.7087533333,"6",,,,"6",,open,false,,,Pilosocereus aurisetus,Pilosocereus aurisetus,Facheiro-da-serra,Plantae,"442087"
"138281833",2022-10-08 09:49:01,2022-10-08,2022-10-08 12:49:01 UTC,Brasilia,"6218825",viniciusdorea,Vinicius D. Oliveira,2022-10-10 17:45:01 UTC,2023-03-21 13:13:30 UTC,research,,https://www.inaturalist.org/observations/138281833,https://static.inaturalist.org/photos/236322629/medium.jpeg,,,,"2","0",false,"2",Morro do Forno,-21.0966242419,-47.3355556279,"2024",,,,"2024",,open,false,,,Pilosocereus machrisii,Pilosocereus machrisii,Facheiro-do-cerrado,Plantae,"442103"
"138540707",2022-10-12 17:12:07-03:00,2022-10-12,2022-10-12 20:12:07 UTC,Brasilia,"6238718",pedro_augusto_janini_de_oliveira,,2022-10-12 20:12:36 UTC,2022-10-13 15:59:20 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/138540707,https://inaturalist-open-data.s3.amazonaws.com/photos/236813648/medium.jpg,,,,"2","0",false,"3","Martinópolis, SP, BR",-22.2467861404,-51.1632653257,"9",,,,"9",,open,false,,,Praecereus euchlorus,Praecereus euchlorus,,Plantae,"442577"
"138558941",2022-10-12 11:11:57,2022-10-12,2022-10-12 14:11:57 UTC,Brasilia,"2497522",rafapsilva,Rafael Silva,2022-10-12 23:16:47 UTC,2023-04-10 00:37:29 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/138558941,https://inaturalist-open-data.s3.amazonaws.com/photos/236848387/medium.jpeg,,,,"2","0",false,"2","Santos Dumont, Pirapora - MG, 39270-000, Brasil",-17.3454094905,-44.9300858751,"36",,,,"36",,open,false,,,ora-pro-nóbis,Pereskia aculeata,ora-pro-nóbis,Plantae,"166500"
"138696184",2022-10-13 22:18:40,2022-10-13,2022-10-14 01:18:40 UTC,Brasilia,"769192",laurentfloresta,Laurent Quéno,2022-10-14 08:30:51 UTC,2022-10-14 11:32:55 UTC,research,,https://www.inaturalist.org/observations/138696184,https://static.inaturalist.org/photos/237097291/medium.jpeg,,,,"1","0",false,"2","Anápolis City, Anápolis - GO, 75096-270, Brésil",-16.326975,-48.9234883,,,,,,,open,false,gps,gps,Selenicereus setaceus,Selenicereus setaceus,Pitaya-tiú,Plantae,"1038929"
"138884486",2022-10-15 16:54:38,2022-10-15,2022-10-15 19:54:38 UTC,Brasilia,"6166954",hedivirgem,Hedivirgem Oliveira,2022-10-15 20:05:46 UTC,2022-10-16 11:07:54 UTC,research,,https://www.inaturalist.org/observations/138884486,https://static.inaturalist.org/photos/237440134/medium.jpeg,,,,"1","0",false,"2","0 - SH Aprodarmas - Quintas Do Amanhecer II (Plana, Brasília - DF, 73375-703, Brasil",-15.658047,-47.6538446,"13",,,,"13",,open,false,,,Rose Cactus,Pereskia grandifolia,Rosa-madeira,Plantae,"166501"
"139113933",2022/10/15 1:10 PM,2022-10-15,2022-10-15 16:10:00 UTC,Brasilia,"1851811",gafischer,Guilherme A. Fischer,2022-10-17 13:54:23 UTC,2022-10-19 00:00:02 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/139113933,https://inaturalist-open-data.s3.amazonaws.com/photos/237874390/medium.jpeg,,,,"2","0",false,,cachoeira couros,-14.277312,-47.759918,"50",,,,"50",,open,false,,,Facheiro-do-cerrado,Pilosocereus machrisii,Facheiro-do-cerrado,Plantae,"442103"
"139677566",2022-10-22 14:27:29,2022-10-22,2022-10-22 17:27:29 UTC,Brasilia,"2118392",ccostah,Henrique C. Costa,2022-10-22 21:39:25 UTC,2023-02-04 19:50:05 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/139677566,https://inaturalist-open-data.s3.amazonaws.com/photos/238946445/medium.jpeg,,,"Serra do Cipó, trilha da Cachoeira do Gavião.","3","0",false,"2","Jaboticatubas, MG, 35830-000, Brasil",-19.340344,-43.5589,,,,,,,open,false,gps,gps,Facheiro-da-serra,Pilosocereus aurisetus,Facheiro-da-serra,Plantae,"442087"
"140380314",2022/10/27 10:02 AM,2022-10-27,2022-10-27 13:02:00 UTC,Brasilia,"1747",fabnaturalist,Schmitt Fabrice,2022-10-29 14:30:17 UTC,2023-04-15 11:11:58 UTC,research,,https://www.inaturalist.org/observations/140380314,https://static.inaturalist.org/photos/240288863/medium.jpg,,,,"1","0",false,,"Santana do Riacho - Minas Gerais, 35845-000, Brésil",-19.1078815458,-43.6730117797,,,,,,,open,false,,,Cipocereus pleurocarpus,Cipocereus pleurocarpus,Tuna-da-lapa-de-flor-amarelo-avermelhada,Plantae,"438251"
"140912956",2017/07/22 11:24 AM,2017-07-22,2017-07-22 14:24:00 UTC,Brasilia,"3804333",julio236,Julio Campos,2022-11-02 21:01:47 UTC,2022-12-02 22:30:49 UTC,research,,https://www.inaturalist.org/observations/140912956,https://static.inaturalist.org/photos/241277985/medium.jpg,,,,"2","0",false,,"Pirenópolis, GO, 72980-000, Brasil",-15.8521031,-48.9590795,"2355",,,,"2355",,open,false,,,Pilosocereus machrisii,Pilosocereus machrisii,Facheiro-do-cerrado,Plantae,"442103"
"141076997",2022/08/29 09:19,2022-08-29,2022-08-29 12:19:00 UTC,Brasilia,"4421525",andremenini,André Menini,2022-11-04 15:59:08 UTC,2023-04-09 13:26:45 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/141076997,https://inaturalist-open-data.s3.amazonaws.com/photos/241597777/medium.jpg,,,"Em afloramento rochoso, cerca de 1100m de altitude nas proximidades com o PE Serra do Cabral. Frutos possuíam mucilagem translucida, apesar de eu ter me esquecido de fotografá-los. ","4","0",false,,"Minas Gerais, BR",-18.0284652628,-44.2582252491,"2062",,,,"30683",,obscured,true,,,Tuna-de-fruto-azul,Cipocereus bradei,Tuna-de-fruto-azul,Plantae,"184186"
"141498485",2022-11-08 17:02:52-03:00,2022-11-08,2022-11-08 20:02:52 UTC,Brasilia,"5611387",vitordematos12,,2022-11-09 00:42:50 UTC,2022-12-11 18:11:57 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/141498485,https://inaturalist-open-data.s3.amazonaws.com/photos/242426456/medium.jpg,,,,"1","0",false,"3","Arinos, BR-MG, BR",-15.6270568396,-45.8608358721,"16",,,,"30870",obscured,obscured,true,,,Cereus mirabella,Cereus mirabella,Mandacaru-de-Mirabela,Plantae,"190472"
"141717220",2022-11-11 16:27:11,2022-11-11,2022-11-11 19:27:11 UTC,Brasilia,"1699754",ericfischerrempe,Eric Fischer Rempe,2022-11-11 19:30:35 UTC,2022-12-01 14:54:34 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/141717220,https://inaturalist-open-data.s3.amazonaws.com/photos/242847059/medium.jpeg,,,,"1","0",false,"2","SCEN - Brasília, DF, 70297-400, Brasil",-15.7661996001,-47.8605832905,"24",,,,"24",,open,false,gps,gps,Epiphyllum phyllanthus,Epiphyllum phyllanthus,Falsa-saborosa,Plantae,"191896"
"142399354",2022-11-19 13:24:38-03:00,2022-11-19,2022-11-19 16:24:38 UTC,America/Araguaina,"3462207",pedroalvaro,Pedro Alvaro Neves,2022-11-19 21:55:56 UTC,2022-12-01 11:12:31 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/142399354,https://inaturalist-open-data.s3.amazonaws.com/photos/244119212/medium.jpg,,,,"1","0",false,"3","Tocantins, BR",-10.0658487983,-46.8767491866,"9",,,,"31208",,obscured,true,,,Cereus mirabella,Cereus mirabella,Mandacaru-de-Mirabela,Plantae,"190472"
